semester_id,student_id,sem,sem_earned,sem_points,semester_attempted,sem_gpa,program_grade_date
449,12069,2001-2,3,9,3,3.33,
450,12112,2002-1,3,10.5,3,3.65,
451,12118,2002-2,3,12,3,3.7,6/2/2002
452,12132,2004-1,3,10.5,3,3.29,6/14/2014
453,12173,2001-1,3,10.5,3,3.33,6/15/2013
454,12198,2002-2,3,10.5,3,3.7,6/8/2003
455,12207,2003-2,3,9,3,3.56,
456,,2004-1,3,11.25,3,3.29,
457,,2002-2,3,12,3,3.7,
458,,2004-1,3,9,3,3.29,
459,,2004-2,12,30,12,2.5,
460,,2001-2,3,3,3,3.33,
461,,2001-2,3,12,3,3.33,
462,,2002-1,3,10.5,3,3.65,
463,,2002-2,3,10.5,3,3.7,
464,,2003-2,3,12,3,3.56,
465,,2001-1,4,10,4,3.13,
466,,2001-2,3,3,3,3.38,
467,,2001-2,3,10.5,3,3.38,
468,,2002-1,3,7.5,3,2.7,
469,,2003-1,3,10.5,3,3.54,
470,,2003-1,3,11.25,3,3.54,
471,,2003-1,3,10.5,3,3.54,
472,,2004-1,3,9,3,3,
473,,2001-2,3,7.5,3,3.38,
474,,2001-2,3,11.25,3,3.38,
475,,2002-2,3,7.5,3,3,
476,,2003-2,3,9,3,3.8,
477,,2003-2,12,48,12,3.8,
478,,2002-1,3,11.25,3,2.7,
479,,2002-2,3,12,3,3,
480,,2001-1,3,11.25,3,3.13,
481,,2001-2,3,9,3,3.38,
482,,2001-2,3,10.5,3,3.38,
483,,2003-1,3,11.25,3,3.54,
484,,2003-1,3,9,3,3.54,
485,,2001-1,3,10.5,3,3.13,
486,,2001-1,3,9,3,3.13,
487,,2001-2,3,12,3,3.38,
488,,2002-1,3,7.5,3,2.7,
489,,2002-1,3,9,3,2.7,
490,,2002-2,3,6,3,3,
491,,2002-2,3,9,3,3,
492,,2002-1,4,8,4,2.7,
493,,2002-2,3,9,3,3,
494,,2002-2,3,10.5,3,3,
495,,2003-1,3,11.25,3,3.54,
496,,2001-1,0,0,3,,
497,,2001-1,0,0,3,,
498,,2001-2,3,0,3,3.75,
499,,2002-2,3,3,3,2.25,
500,,2001-1,1,3,1,2.98,
501,,2001-1,3,10.5,3,2.98,
502,,2001-2,0,0,3,3.75,
503,,2001-2,3,10.5,3,3.75,
504,,2002-2,0,,3,2.25,
505,,2004-2,3,0,3,0,
506,,2002-2,0,,3,2.25,
507,,2001-2,3,12,3,3.75,
508,,2002-2,3,10.5,3,2.25,
509,,2001-1,3,11.25,3,2.98,
510,,2001-1,3,9,3,2.98,
511,,2001-1,4,8,4,2.98,
512,,2001-1,3,9,3,2.14,
513,,2001-1,1,2.5,1,2.14,
514,,2001-1,3,0,3,2.14,
515,,2001-2,3,0,3,0,
516,,2001-1,0,0,3,2.14,
517,,2001-1,4,8,4,2.14,
518,,2001-2,3,0,3,0,
519,,2001-1,3,10.5,3,2.14,
520,,2002-1,3,10.5,3,3.88,
521,,2002-2,3,12,3,3.88,
522,,2002-2,3,11.25,3,3.88,
523,,2003-1,3,11.25,3,3.85,
524,,2003-2,0,0,3,3.81,
525,,2003-2,3,11.25,3,3.81,
526,,2001-2,3,11.25,3,3.75,
527,,2002-2,3,11.25,3,3.88,
528,,2004-2,12,42,12,3.5,
529,,2001-1,3,11.25,3,3.88,
530,,2001-1,3,12,3,3.88,
531,,2001-2,3,10.5,3,3.75,
532,,2002-1,3,12,3,3.88,
533,,2003-1,3,12,3,3.85,
534,,2003-1,3,12,3,3.85,
535,,2003-2,3,12,3,3.81,
536,,2004-1,3,12,3,3.9,
537,,2001-1,1,3.5,1,3.88,
538,,2002-1,3,12,3,3.88,
539,,2002-1,3,12,3,3.88,
540,,2003-1,3,12,3,3.85,
541,,2003-2,3,11.25,3,3.81,
542,,2004-1,3,10.5,3,3.9,
543,,2001-1,3,12,3,3.88,
544,,2001-1,3,11.25,3,3.88,
545,,2001-2,3,11.25,3,3.75,
546,,2001-2,3,12,3,3.75,
547,,2002-2,3,12,3,3.88,
548,,2003-1,3,10.5,3,3.85,
549,,2003-2,3,11.25,3,3.81,
550,,2001-1,4,16,4,3.88,
551,,2001-2,3,11.25,3,3.75,
552,,2004-1,3,12,3,3.9,
553,,2004-1,3,12,3,3.9,
554,,2004-1,3,12,3,3.9,
555,,2022-1,0,0,3,2.81,
556,,2022-1,3,6,3,2.81,
557,,2022-2,0,0,3,,
558,,2022-1,3,7.5,3,2.81,
559,,2022-1,3,11.25,3,2.81,
560,,2022-2,,,3,,
561,,2022-2,,,3,,
562,,2022-2,,,3,,
563,,2022-1,3,9,3,2.81,
564,,2022-2,,,3,,
565,,2022-2,,,3,,
566,,2022-1,0,0,3,2.81,
567,,2003-1,3,11.25,3,3.05,
568,,2003-1,3,4.5,3,3.05,
569,,2003-2,3,9,3,3.33,
570,,2004-1,3,9,3,3.3,
571,,2004-1,3,9,3,3.3,
572,,2003-1,3,10.5,3,3.05,
573,,2004-1,3,12,3,3.3,
574,,2003-2,3,9,3,3.33,
575,,2004-1,3,9,3,3.3,
576,,2003-1,3,9,3,3.05,
577,,2003-2,3,12,3,3.33,
578,,2003-2,3,9,3,3.33,
579,,2003-2,3,12,3,3.33,
580,,2003-2,3,9,3,3.33,
581,,2004-1,3,10.5,3,3.3,
582,,2003-1,3,10.5,3,3.05,
583,,2004-2,12,48,12,4,
584,,2002-2,3,6,3,2,
585,,2003-1,3,0,3,2.88,
586,,2003-1,3,11.25,3,2.88,
587,,2002-1,3,7.5,3,2.5,
588,,2002-1,3,9,3,2.5,
589,,2002-1,3,7.5,3,2.5,
590,,2002-2,3,6,3,2,
591,,2002-1,3,6,3,2.5,
592,,2004-1,3,3,3,2.25,
593,,2003-2,3,6,3,2.67,
594,,2003-2,3,10.5,3,2.67,
595,,2004-1,3,6,3,2.25,
596,,2003-1,3,6,3,2.88,
597,,2003-2,3,7.5,3,2.67,
598,,2004-1,3,12,3,2.25,
599,,2002-1,3,0,3,2.5,
600,,2002-2,3,6,3,2,
601,,2004-1,3,6,3,2.25,
602,,2004-2,12,42,12,3.5,
603,,2018-1,0,0,3,0,
604,,2018-1,0,0,3,0,
605,,2018-1,0,0,3,0,
606,,2011-1,,,3,2.75,
607,,2013-1,0,0,3,,
608,,2019-1,3,4.5,3,2.92,
609,,2011-2,3,6,3,1.5,
610,,2010-2,3,10.5,3,3,
611,,2011-1,3,7.5,3,2.75,
612,,2011-1,3,9,3,2.75,
613,,2013-1,0,0,3,,
614,,2019-1,3,10.5,3,2.92,
615,,2019-2,3,0,3,0,
616,,2010-1,0,0,3,2.5,
617,,2011-2,3,3,3,1.5,
618,,2013-1,0,0,3,,
619,,2018-2,3,9,3,3.38,
620,,2019-1,3,11.25,3,2.92,
621,,2019-2,,,3,0,
622,,2018-2,3,11.25,3,3.38,
623,,2010-1,3,7.5,3,2.5,
624,,2010-2,3,7.5,3,3,
625,,2003-2,0,0,3,3.13,
626,,2006-1,3,7.5,3,2.75,
627,,2003-1,3,12,3,3.92,
628,,2003-2,0,0,3,3.13,
629,,2003-2,3,11.25,3,3.13,
630,,2004-2,3,7.5,3,2.17,
631,,2005-1,3,9,3,3,
632,,2006-1,3,0,3,2.75,
633,,2004-2,3,9,3,2.17,
634,,2005-1,0,0,3,3,
635,,2003-1,3,12,3,3.92,
636,,2004-2,3,3,3,2.17,
637,,2005-1,3,9,3,3,
638,,2005-2,12,48,12,4,
639,,2006-1,3,7.5,3,2.75,
640,,2006-2,3,11.25,3,3.75,
641,,2003-1,3,11.25,3,3.92,
642,,2003-2,3,7.5,3,3.13,
643,,2006-1,3,7.5,3,2.75,
644,,2006-1,3,10.5,3,2.75,
645,,2009-1,3,9,3,3.05,
646,,2009-1,3,4.5,3,3.05,
647,,2009-1,3,7.5,3,3.05,
648,,2009-2,3,9,3,2.9,
649,,2010-1,3,7.5,3,2.83,
650,,2010-2,12,42,12,3.5,
651,,2009-1,3,10.5,3,3.05,
652,,2010-1,3,9,3,2.83,
653,,2010-3,3,11.25,3,3.38,
654,,2009-1,3,11.25,3,3.05,
655,,2010-1,3,7.5,3,2.83,
656,,2010-1,3,7.5,3,2.83,
657,,2010-1,3,12,3,2.83,
658,,2009-2,3,7.5,3,2.9,
659,,2009-2,3,9,3,2.9,
660,,2009-2,3,7.5,3,2.9,
661,,2009-2,3,10.5,3,2.9,
662,,2010-3,3,9,3,3.38,
663,,2009-1,3,7.5,3,3.05,
664,,2010-1,3,7.5,3,2.83,
665,,2003-2,3,11.25,3,3.67,
666,,2003-2,3,10.5,3,3.67,
667,,2004-1,3,9,3,3.5,
668,,2003-2,3,11.25,3,3.67,
669,,2005-2,3,9,3,3.42,
670,,2005-2,3,11.25,3,3.42,
671,,2003-1,3,10.5,3,3.67,
672,,2004-1,3,12,3,3.5,
673,,2005-2,3,10.5,3,3.42,
674,,2003-1,3,12,3,3.67,
675,,2004-2,12,48,12,4,
676,,2005-1,3,11.25,3,3.75,
677,,2003-1,3,10.5,3,3.67,
678,,2004-1,3,10.5,3,3.5,
679,,2005-1,3,10.5,3,3.75,
680,,2005-1,3,12,3,3.75,
681,,2000-2,3,11.25,3,3.4,
682,,2000-2,3,12,3,3.4,
683,,2000-2,3,11.25,3,3.4,
684,,2001-1,3,10.5,3,3.33,
685,,2000-1,3,12,3,3,
686,,2000-1,3,9,3,3,
687,,2000-1,3,6,3,3,
688,,2000-2,3,7.5,3,3.4,
689,,2001-1,3,12,3,3.33,
690,,2001-2,3,12,3,4,
691,,2000-1,3,10.5,3,3,
692,,2001-1,3,7.5,3,3.33,
693,,2001-1,3,12,3,3.33,
694,,2001-2,3,12,3,4,
695,,2000-1,3,7.5,3,3,
696,,2000-2,3,9,3,3.4,
697,,2001-1,3,9,3,3.33,
698,,2001-1,3,9,3,3.33,
699,,2002-1,3,12,3,3.85,
700,,2002-1,3,10.5,3,3.85,
701,,2002-2,3,11.25,3,3.71,
702,,2002-2,3,11.25,3,3.71,
703,,2002-2,3,10.5,3,3.71,
704,,2003-1,3,12,3,3.75,
705,,2002-1,3,12,3,3.85,
706,,2002-1,3,12,3,3.85,
707,,2002-2,3,10.5,3,3.71,
708,,2002-1,3,11.25,3,3.85,
709,,2002-2,3,12,3,3.71,
710,,2002-2,3,11.25,3,3.71,
711,,2003-1,3,12,3,3.75,
712,,2003-1,3,11.25,3,3.75,
713,,2003-2,12,48,12,4,
714,,2003-1,3,9,3,3.75,
715,,2003-1,3,12,3,3.75,
716,,2000-2,3,4.5,3,3.1,
717,,2001-1,3,7.5,3,2.96,
718,,2001-1,3,11.25,3,2.96,
719,,2000-1,3,10.5,3,3.15,
720,,2000-1,3,6,3,3.15,
721,,2001-2,3,12,3,4,
722,,2000-1,3,9,3,3.15,
723,,2001-1,3,9,3,2.96,
724,,2000-1,3,10.5,3,3.15,
725,,2000-2,3,9,3,3.1,
726,,2000-2,3,12,3,3.1,
727,,2001-1,3,9,3,2.96,
728,,2001-1,3,10.5,3,2.96,
